,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ID,CLASS,filename,split,label,species
3,3,3,3,4,1,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,val,0,Black footed Albatross
52,52,52,52,53,1,001.Black_footed_Albatross/Black_Footed_Albatross_0068_796135.jpg,val,0,Black footed Albatross
59,59,59,59,60,1,001.Black_footed_Albatross/Black_Footed_Albatross_0081_426.jpg,val,0,Black footed Albatross
88,88,88,88,89,2,002.Laysan_Albatross/Laysan_Albatross_0088_883.jpg,val,1,Laysan Albatross
110,110,110,110,111,2,002.Laysan_Albatross/Laysan_Albatross_0100_735.jpg,val,1,Laysan Albatross
115,115,115,115,116,2,002.Laysan_Albatross/Laysan_Albatross_0083_756.jpg,val,1,Laysan Albatross
120,120,120,120,121,3,003.Sooty_Albatross/Sooty_Albatross_0038_1065.jpg,val,2,Sooty Albatross
122,122,122,122,123,3,003.Sooty_Albatross/Sooty_Albatross_0001_1071.jpg,val,2,Sooty Albatross
176,176,176,176,177,3,003.Sooty_Albatross/Sooty_Albatross_0023_796401.jpg,val,2,Sooty Albatross
188,188,188,188,189,4,004.Groove_billed_Ani/Groove_Billed_Ani_0019_1585.jpg,val,3,Groove billed Ani
205,205,205,205,206,4,004.Groove_billed_Ani/Groove_Billed_Ani_0002_1670.jpg,val,3,Groove billed Ani
224,224,224,224,225,4,004.Groove_billed_Ani/Groove_Billed_Ani_0027_1754.jpg,val,3,Groove billed Ani
272,272,272,272,273,5,005.Crested_Auklet/Crested_Auklet_0077_785257.jpg,val,4,Crested Auklet
273,273,273,273,274,5,005.Crested_Auklet/Crested_Auklet_0069_785258.jpg,val,4,Crested Auklet
275,275,275,275,276,5,005.Crested_Auklet/Crested_Auklet_0072_785260.jpg,val,4,Crested Auklet
284,284,284,284,285,6,006.Least_Auklet/Least_Auklet_0058_1931.jpg,val,5,Least Auklet
288,288,288,288,289,6,006.Least_Auklet/Least_Auklet_0015_795065.jpg,val,5,Least Auklet
290,290,290,290,291,6,006.Least_Auklet/Least_Auklet_0043_795067.jpg,val,5,Least Auklet
331,331,331,331,332,7,007.Parakeet_Auklet/Parakeet_Auklet_0041_795933.jpg,val,6,Parakeet Auklet
354,354,354,354,355,7,007.Parakeet_Auklet/Parakeet_Auklet_0065_795969.jpg,val,6,Parakeet Auklet
367,367,367,367,368,7,007.Parakeet_Auklet/Parakeet_Auklet_0019_795987.jpg,val,6,Parakeet Auklet
376,376,376,376,377,8,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0028_2056.jpg,val,7,Rhinoceros Auklet
378,378,378,378,379,8,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0021_2089.jpg,val,7,Rhinoceros Auklet
394,394,394,394,395,8,008.Rhinoceros_Auklet/Rhinoceros_Auklet_0032_797516.jpg,val,7,Rhinoceros Auklet
432,432,432,432,433,9,009.Brewer_Blackbird/Brewer_Blackbird_0111_2613.jpg,val,8,Brewer Blackbird
455,455,455,455,456,9,009.Brewer_Blackbird/Brewer_Blackbird_0109_2232.jpg,val,8,Brewer Blackbird
463,463,463,463,464,9,009.Brewer_Blackbird/Brewer_Blackbird_0103_2273.jpg,val,8,Brewer Blackbird
523,523,523,523,524,10,010.Red_winged_Blackbird/Red_Winged_Blackbird_0021_3767.jpg,val,9,Red winged Blackbird
534,534,534,534,535,10,010.Red_winged_Blackbird/Red_Winged_Blackbird_0085_5846.jpg,val,9,Red winged Blackbird
538,538,538,538,539,10,010.Red_winged_Blackbird/Red_Winged_Blackbird_0105_4842.jpg,val,9,Red winged Blackbird
551,551,551,551,552,11,011.Rusty_Blackbird/Rusty_Blackbird_0091_6695.jpg,val,10,Rusty Blackbird
575,575,575,575,576,11,011.Rusty_Blackbird/Rusty_Blackbird_0006_6633.jpg,val,10,Rusty Blackbird
