ID,filename,species,label,split
0,1025794.jpg,707-320,0,train
1,1340192.jpg,707-320,0,train
2,0056978.jpg,707-320,0,train
3,0698580.jpg,707-320,0,train
4,0450014.jpg,707-320,0,train
5,1042824.jpg,707-320,0,train
6,0894380.jpg,707-320,0,train
7,1427680.jpg,707-320,0,train
8,0817494.jpg,707-320,0,train
9,0716386.jpg,707-320,0,train
10,0951982.jpg,707-320,0,train
11,0731614.jpg,707-320,0,train
12,0582363.jpg,707-320,0,train
13,1082409.jpg,707-320,0,train
14,2031775.jpg,707-320,0,train
15,0950991.jpg,707-320,0,train
16,0869722.jpg,707-320,0,train
17,0979376.jpg,707-320,0,train
18,1002439.jpg,707-320,0,train
19,0864665.jpg,707-320,0,train
20,1207591.jpg,707-320,0,train
21,0582372.jpg,707-320,0,train
22,0729223.jpg,707-320,0,train
23,1319365.jpg,707-320,0,train
24,0548719.jpg,707-320,0,train
25,0577855.jpg,707-320,0,train
26,1423583.jpg,707-320,0,train
27,1187431.jpg,707-320,0,train
28,0610657.jpg,707-320,0,train
29,0869742.jpg,707-320,0,train
30,0687610.jpg,707-320,0,train
31,1042021.jpg,707-320,0,train
32,0482761.jpg,707-320,0,train
33,0064933.jpg,707-320,0,train
34,1019011.jpg,727-200,1,train
35,0732456.jpg,727-200,1,train
36,0218039.jpg,727-200,1,train
37,2223757.jpg,727-200,1,train
38,0983618.jpg,727-200,1,train
39,1327285.jpg,727-200,1,train
40,0065840.jpg,727-200,1,train
41,0980196.jpg,727-200,1,train
42,0995286.jpg,727-200,1,train
43,1514487.jpg,727-200,1,train
44,0213505.jpg,727-200,1,train
45,1459191.jpg,727-200,1,train
46,1063986.jpg,727-200,1,train
47,0056337.jpg,727-200,1,train
48,0409532.jpg,727-200,1,train
49,0771164.jpg,727-200,1,train
50,0632010.jpg,727-200,1,train
51,0901504.jpg,727-200,1,train
52,0063052.jpg,727-200,1,train
53,0143080.jpg,727-200,1,train
54,1089989.jpg,727-200,1,train
55,0907359.jpg,727-200,1,train
56,0875281.jpg,727-200,1,train
57,1197395.jpg,727-200,1,train
58,1149060.jpg,727-200,1,train
59,1059846.jpg,727-200,1,train
60,0786258.jpg,727-200,1,train
61,1512865.jpg,727-200,1,train
62,0523223.jpg,727-200,1,train
63,1115308.jpg,727-200,1,train
64,1739565.jpg,727-200,1,train
65,0994986.jpg,727-200,1,train
66,0193983.jpg,727-200,1,train
67,0822348.jpg,737-200,2,train
68,1152739.jpg,737-200,2,train
69,0907429.jpg,737-200,2,train
70,0209554.jpg,737-200,2,train
71,1187709.jpg,737-200,2,train
72,0847273.jpg,737-200,2,train
73,0923506.jpg,737-200,2,train
