,Unnamed: 0,md5hash,fitzpatrick_scale,fitzpatrick_centaur,species,nine_partition_label,three_partition_label,qc,url,url_alphanum,filename,fitzpatrick,fitzpatrick_v,three_v,nine_v,label_v,split,label
0,0,bb18c8800c62e37bd21641ad30aa3982,3,2,nevocytic nevus,benign melanocyte,benign,,https://www.dermaamin.com/site/images/clinical-pic/n/nevocyticn-nevus/nevocyticn-nevus15.jpg,httpwwwdermaamincomsiteimagesclinicalpicnnevocyticnnevusnevocyticnnevus15jpg.jpg,data/finalfitz17k/bb18c8800c62e37bd21641ad30aa3982.jpg,2.5,3,0,2,69,val,31
1,1,45005e10b9ecc6241aa723a8c33086ed,1,1,lentigo maligna,malignant melanoma,malignant,,https://www.dermaamin.com/site/images/clinical-pic/L/lentigo-maligna/lentigo-maligna81.jpg,httpwwwdermaamincomsiteimagesclinicalpicLlentigomalignalentigomaligna81jpg.jpg,data/finalfitz17k/45005e10b9ecc6241aa723a8c33086ed.jpg,1.0,0,1,8,46,val,9
2,2,9aaee7c5c51035a4171611b76a97cf8b,2,1,perioral dermatitis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/perioral-dermatitis/perioral-dermatitis25.jpg,httpwwwdermaamincomsiteimagesclinicalpicpperioraldermatitisperioraldermatitis25jpg.jpg,data/finalfitz17k/9aaee7c5c51035a4171611b76a97cf8b.jpg,1.5,1,2,4,74,val,8
3,3,057a18ef59ca4313fc8ca879c5094f13,3,1,porokeratosis of mibelli,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/porokeratosis_of_mibelli/porokeratosis_of_mibelli66.jpg,httpwwwdermaamincomsiteimagesclinicalpicpporokeratosisofmibelliporokeratosisofmibelli66jpg.jpg,data/finalfitz17k/057a18ef59ca4313fc8ca879c5094f13.jpg,2.0,2,0,1,82,val,21
4,4,3bd6544b48ed33bce1d7b4f0936d251a,1,1,pityriasis lichenoides chronica,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/p/pityriasis-lichenoides-chronica/pityriasis-lichenoides-chronica5.jpg,httpwwwdermaamincomsiteimagesclinicalpicppityriasislichenoideschronicapityriasislichenoideschronica5jpg.jpg,data/finalfitz17k/3bd6544b48ed33bce1d7b4f0936d251a.jpg,1.0,0,2,4,78,val,30
5,5,6630efeccdbb3e1955e09a0ea5a407fd,2,3,pilar cyst,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/c/cyst_epidermoid/cyst_epidermoid14.jpg,httpwwwdermaamincomsiteimagesclinicalpicccystepidermoidcystepidermoid14jpg.jpg,data/finalfitz17k/6630efeccdbb3e1955e09a0ea5a407fd.jpg,2.5,3,0,0,76,val,2
6,6,5c538b28d9d98753d01ac8d9bed0e47e,1,1,erythema nodosum,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/e/erythema-nodosum/erythema-nodosum58.jpg,httpwwwdermaamincomsiteimagesclinicalpiceerythemanodosumerythemanodosum58jpg.jpg,data/finalfitz17k/5c538b28d9d98753d01ac8d9bed0e47e.jpg,1.0,0,2,4,29,val,3
7,7,96fec92b4635d407429bf99b37b56b50,3,1,porokeratosis of mibelli,benign epidermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/p/porokeratosis_of_mibelli/porokeratosis_of_mibelli58.jpg,httpwwwdermaamincomsiteimagesclinicalpicpporokeratosisofmibelliporokeratosisofmibelli58jpg.jpg,data/finalfitz17k/96fec92b4635d407429bf99b37b56b50.jpg,2.0,2,0,1,82,val,21
8,8,31945759677394cbc903426a01078ffe,-1,2,calcinosis cutis,inflammatory,non-neoplastic,,https://www.dermaamin.com/site/images/clinical-pic/c/calcinosis_cutis/calcinosis_cutis43.jpg,httpwwwdermaamincomsiteimagesclinicalpicccalcinosiscutiscalcinosiscutis43jpg.jpg,data/finalfitz17k/31945759677394cbc903426a01078ffe.jpg,2.0,2,2,4,12,val,22
9,9,365aac442608711300939dbae45eb7d2,3,4,pilar cyst,benign dermal,benign,,https://www.dermaamin.com/site/images/clinical-pic/c/cyst_epidermoid/cyst_epidermoid9.jpg,httpwwwdermaamincomsiteimagesclinicalpicccystepidermoidcystepidermoid9jpg.jpg,data/finalfitz17k/365aac442608711300939dbae45eb7d2.jpg,3.5,5,0,0,76,val,2
